metric_name,date,p10,p50,p90
priceCN,2021-10-25,511.453338623,554.7105102539,598.2243652344
priceCN,2021-11-01,497.8386535645,546.5315551758,593.4889526367
priceCN,2021-11-08,484.6297607422,534.9897460938,592.9724731445
priceCN,2021-11-15,471.9641723633,525.940612793,593.5241088867
priceCN,2021-11-22,465.5550537109,515.6639404297,587.270324707
priceCN,2021-11-29,437.866394043,506.444519043,581.932800293
priceCN,2021-12-06,418.7874755859,495.9783630371,578.8483886719
priceCN,2021-12-13,403.2139892578,481.8331298828,577.2576904297
priceCN,2021-12-20,392.5238342285,468.9610595703,567.2105102539
priceCN,2021-12-27,377.4088439941,455.3833007812,553.3112182617
priceCN,2022-01-03,367.7116699219,441.4156188965,552.0379638672
priceCN,2022-01-10,367.943359375,438.9883422852,557.7808837891
priceCN,2022-01-17,365.5478820801,432.9144592285,550.5607910156
priceCN,2022-01-24,355.9493103027,425.7660522461,533.5520629883
priceCN,2022-01-31,341.5250854492,417.0331115723,551.8606567383
priceCN,2022-02-07,336.0649108887,410.2720031738,544.2598266602
priceCN,2022-02-14,330.6432189941,402.2225036621,523.6705932617
USD_KR,2021-10-04,1187.50,1187.50,1187.50
USD_KR,2021-10-11,1196.50,1196.50,1196.50
USD_KR,2021-10-18,1187.50,1187.50,1187.50
USD_KR,2021-10-25,1175.62,1186.742,1202.787
USD_KR,2021-11-01,1179.486,1192.067,1209.169
USD_KR,2021-11-08,1180.964,1198.598,1217.809
USD_KR,2021-11-15,1206.948,1231.485,1249.115
USD_KR,2021-11-22,1235.205,1254.471,1269.379
USD_KR,2021-11-29,1246.803,1262.424,1282.001
USD_KR,2021-12-06,1249.87,1262.325,1285.992
USD_KR,2021-12-13,1259.37,1272.583,1289.563
USD_KR,2021-12-20,1263.839,1278.027,1301.104
USD_KR,2021-12-27,1261.01,1279.907,1300.271
USD_KR,2022-01-03,1265.016,1287.221,1306.576
USD_KR,2022-01-10,1272.833,1293.572,1310.295
USD_KR,2022-01-17,1273.537,1294.797,1314.023
USD_KR,2022-01-24,1272.47,1299.045,1324.942
USD_KR,2022-01-31,1273.048,1301.068,1315.869
