Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,663,294.0,211.0,355.0,255.0,255.0
2020-06-05,663,282.0,195.0,355.0,255.0,245.0
2020-05-29,663,271.0,181.0,324.0,255.0,235.0
2020-05-22,663,260.0,176.0,324.0,255.0,230.0
2020-05-15,663,262.0,176.0,324.0,255.0,230.0
2020-05-08,663,245.0,177.0,324.0,261.0,215.0
2020-05-01,663,242.0,177.0,367.0,261.0,185.0
2020-04-24,663,227.0,178.0,367.0,261.0,185.0
2020-04-17,663,233.0,181.0,367.0,261.0,185.0
2020-04-10,663,233.0,181.0,367.0,261.0,185.0
2020-04-03,663,242.0,181.0,367.0,261.0,190.0
2020-03-27,660,243.0,185.0,384.0,261.0,210.0
2020-03-20,660,250.0,185.0,384.0,261.0,215.0
2020-03-13,660,254.0,186.0,384.0,261.0,235.0
2020-03-06,660,251.0,185.0,384.0,261.0,235.0
2020-02-28,660,250.0,185.0,392.0,261.0,245.0
2020-02-21,660,253.0,185.0,392.0,261.0,220.0
2020-02-14,660,261.0,197.0,392.0,261.0,220.0
2020-02-07,660,271.0,216.0,392.0,261.0,230.0
2020-01-31,660,272.0,227.0,388.0,287.5,255.0
2020-01-24,660,274.0,231.0,388.0,287.5,255.0
2020-01-17,660,280.0,232.0,388.0,285.0,260.0
2020-01-10,660,274.0,232.0,388.0,285.0,255.0
2020-01-03,660,263.0,231.0,390.0,285.0,265.0
2019-12-27,714,263.0,231.0,390.0,285.0,265.0
2019-12-20,714,265.0,231.0,390.0,285.0,265.0
2019-12-13,714,261.0,224.0,390.0,285.0,253.0
2019-12-06,714,261.0,221.0,390.0,275.0,250.0
2019-11-29,714,243.0,218.0,387.1,244.0,250.0
2019-11-22,714,241.0,212.0,387.1,244.0,240.0
2019-11-15,714,240.0,207.0,387.1,244.0,220.0
2019-11-08,714,245.0,207.0,387.0,244.0,220.0
2019-11-01,714,254.0,207.0,380.0,244.0,220.0
2019-10-25,714,265.0,209.0,380.0,244.0,220.0
2019-10-18,714,279.0,209.0,380.0,244.0,220.0
2019-10-11,714,293.0,214.0,380.0,244.0,220.0
2019-10-04,714,300.0,219.0,380.0,244.0,240.0
2019-09-27,731,311.0,220.0,381.0,275.0,240.0
2019-09-20,731,320.0,222.0,381.0,275.0,250.0
2019-09-13,731,326.0,232.0,381.0,280.0,260.0
2019-09-06,731,324.0,240.0,381.0,281.0,260.0
2019-08-30,731,326.0,244.0,397.0,305.0,270.0
2019-08-23,731,327.0,244.0,397.0,305.0,270.0
2019-08-16,731,322.0,244.0,397.0,305.0,270.0
2019-08-09,731,313.0,244.0,397.0,305.0,275.0
2019-08-02,731,314.0,244.0,379.0,305.0,275.0
2019-07-26,731,316.0,243.0,379.0,305.0,270.0
2019-07-19,731,316.0,243.0,379.0,305.0,270.0
2019-07-12,731,322.0,243.0,379.0,305.0,270.0
2019-07-05,731,324.0,248.0,379.0,305.0,270.0
2019-06-28,722,334.0,260.0,375.0,305.0,280.0
2019-06-21,722,341.0,271.0,387.0,305.0,280.0
2019-06-14,722,344.0,279.0,375.0,308.0,290.0
2019-06-07,722,347.0,281.0,375.0,308.0,300.0
2019-05-31,722,327.0,284.0,387.0,308.0,300.0
2019-05-24,722,328.0,285.0,387.0,308.0,300.0
2019-05-17,722,326.0,288.0,387.0,308.0,305.0
2019-05-10,722,317.0,292.0,387.0,312.0,305.0
2019-05-03,722,320.0,297.0,387.0,329.0,310.0
2019-04-26,722,330.0,297.0,389.0,329.0,310.0
2019-04-19,722,344.0,305.0,389.0,329.0,315.0
2019-04-12,722,357.0,316.0,389.0,331.0,325.0
2019-04-05,722,342.0,323.0,389.0,333.0,330.0
2019-03-29,733,338.0,320.0,396.0,350.0,340.0
2019-03-22,733,338.0,316.0,396.0,350.0,340.0
2019-03-15,733,338.0,314.0,396.0,338.0,340.0
2019-03-08,733,334.0,309.0,396.0,338.0,320.0
2019-03-01,733,313.0,299.0,389.0,310.0,305.0
2019-02-22,733,310.0,289.0,389.0,310.0,305.0
2019-02-15,733,319.0,280.0,389.0,310.0,285.0
2019-02-08,733,327.0,280.0,389.0,310.0,285.0
2019-02-01,733,327.0,280.0,368.0,310.0,285.0
2019-01-25,733,335.0,280.0,368.0,302.0,285.0
2019-01-18,733,340.0,281.0,368.0,302.0,290.0
2019-01-11,733,328.0,287.0,368.0,308.0,295.0
2019-01-04,733,307.0,285.0,368.0,313.0,295.0
2018-12-28,745,306.0,285.0,382.0,313.0,295.0
